Budget,Average_Recovery_Rate
253,0.160000
254,0.160000
255,0.160000
256,0.160000
257,0.160000
258,0.160000
259,0.160000
260,0.160000
261,0.160000
262,0.160000
263,0.160000
264,0.160000
265,0.160000
266,0.160000
267,0.160000
268,0.160000
269,0.160000
270,0.160000
271,0.160000
272,0.160000
273,0.160000
274,0.160000
275,0.160000
276,0.160000
277,0.160000
278,0.160000
279,0.160000
280,0.160000
281,0.160000
282,0.160000
283,0.160000
284,0.160000
285,0.160000
286,0.160000
287,0.160000
288,0.160000
289,0.160000
290,0.160000
291,0.160000
292,0.160000
293,0.160000
294,0.160000
295,0.160000
296,0.160000
297,0.160000
298,0.160000
299,0.160000
300,0.160000
301,0.160000
302,0.160000
303,0.160000
304,0.160000
305,0.160000
306,0.160000
307,0.160000
308,0.160000
309,0.160000
310,0.160000
311,0.160000
312,0.160000
313,0.160000
314,0.160000
315,0.160000
316,0.160000
317,0.160000
318,0.160000
319,0.160000
320,0.160000
321,0.160000
322,0.160000
323,0.160000
324,0.160000
325,0.160000
326,0.160000
327,0.160000
328,0.160000
329,0.160000
330,0.160000
331,0.160000
332,0.160000
333,0.160000
334,0.160000
335,0.160000
336,0.160000
337,0.160000
338,0.160000
339,0.160000
340,0.160000
341,0.160000
342,0.160000
343,0.160000
344,0.160000
345,0.160000
346,0.160000
347,0.160000
348,0.160000
349,0.160000
350,0.160000
351,0.160000
352,0.160000
353,0.160000
354,0.160000
355,0.160000
356,0.160000
357,0.160000
358,0.160000
359,0.160000
360,0.160000
361,0.160000
362,0.160000
363,0.160000
364,0.160000
365,0.160000
366,0.160000
367,0.160000
368,0.160000
369,0.160000
370,0.160000
371,0.160000
372,0.160000
373,0.160000
374,0.160000
375,0.160000
376,0.160000
377,0.160000
378,0.160000
379,0.160000
380,0.160000
381,0.160000
382,0.160000
383,0.160000
384,0.160000
385,0.160000
386,0.160000
387,0.160000
388,0.160000
389,0.160000
390,0.160000
391,0.160000
392,0.160000
393,0.160000
394,0.160000
395,0.160000
396,0.160000
397,0.160000
398,0.160000
399,0.160000
400,0.160000
401,0.160000
402,0.160000
403,0.160000
404,0.160000
405,0.160000
406,0.160000
407,0.160000
408,0.160000
409,0.160000
410,0.160000
411,0.160000
412,0.160000
413,0.160000
414,0.160000
415,0.160000
416,0.160000
417,0.160000
418,0.160000
419,0.160000
420,0.160000
421,0.160000
422,0.160000
423,0.160000
424,0.160000
425,0.160000
426,0.160000
427,0.160000
428,0.160000
429,0.160000
430,0.160000
431,0.160000
432,0.160000
433,0.160000
434,0.160000
435,0.160000
436,0.160000
437,0.160000
438,0.160000
439,0.160000
440,0.160000
441,0.160000
442,0.160000
443,0.160000
444,0.160000
445,0.160000
446,0.160000
447,0.160000
448,0.160000
449,0.160000
450,0.160000
451,0.160000
452,0.160000
453,0.160000
454,0.160000
455,0.160000
456,0.160000
457,0.160000
458,0.160000
459,0.160000
460,0.160000
461,0.160000
462,0.160000
463,0.160000
464,0.160000
465,0.160000
466,0.160000
467,0.160000
468,0.160000
469,0.160000
470,0.160000
471,0.160000
472,0.160000
473,0.160000
474,0.160000
475,0.160000
476,0.160000
477,0.160000
478,0.160000
479,0.160000
480,0.160000
481,0.160000
482,0.160000
483,0.160000
484,0.160000
485,0.160000
486,0.160000
487,0.160000
488,0.160000
489,0.160000
490,0.160000
491,0.160000
492,0.160000
493,0.160000
494,0.160000
495,0.160000
496,0.160000
497,0.160000
498,0.160000
499,0.160000
500,0.160000
