Budget,Average_Recovery_Rate
253,0.820000
254,0.820000
255,0.820000
256,0.820000
257,0.820000
258,0.820000
259,0.820000
260,0.820000
261,0.820000
262,0.820000
263,0.820000
264,0.820000
265,0.820000
266,0.820000
267,0.820000
268,0.820000
269,0.820000
270,0.820000
271,0.820000
272,0.820000
273,0.820000
274,0.820000
275,0.820000
276,0.820000
277,0.820000
278,0.820000
279,0.820000
280,0.820000
281,0.820000
282,0.820000
283,0.820000
284,0.820000
285,0.820000
286,0.820000
287,0.820000
288,0.820000
289,0.820000
290,0.820000
291,0.820000
292,0.820000
293,0.820000
294,0.820000
295,0.820000
296,0.820000
297,0.820000
298,0.820000
299,0.820000
300,0.820000
301,0.820000
302,0.820000
303,0.820000
304,0.820000
305,0.820000
306,0.820000
307,0.820000
308,0.820000
309,0.820000
310,0.820000
311,0.820000
312,0.820000
313,0.820000
314,0.820000
315,0.820000
316,0.820000
317,0.820000
318,0.820000
319,0.820000
320,0.820000
321,0.820000
322,0.820000
323,0.820000
324,0.820000
325,0.820000
326,0.820000
327,0.820000
328,0.820000
329,0.820000
330,0.820000
331,0.820000
332,0.820000
333,0.820000
334,0.820000
335,0.820000
336,0.820000
337,0.820000
338,0.820000
339,0.820000
340,0.820000
341,0.820000
342,0.820000
343,0.820000
344,0.820000
345,0.820000
346,0.820000
347,0.820000
348,0.820000
349,0.820000
350,0.820000
351,0.820000
352,0.820000
353,0.820000
354,0.820000
355,0.820000
356,0.820000
357,0.820000
358,0.820000
359,0.820000
360,0.820000
361,0.820000
362,0.820000
363,0.820000
364,0.820000
365,0.820000
366,0.820000
367,0.820000
368,0.820000
369,0.820000
370,0.820000
371,0.820000
372,0.820000
373,0.820000
374,0.820000
375,0.820000
376,0.820000
377,0.820000
378,0.820000
379,0.820000
380,0.820000
381,0.820000
382,0.820000
383,0.820000
384,0.820000
385,0.820000
386,0.820000
387,0.820000
388,0.820000
389,0.820000
390,0.820000
391,0.820000
392,0.820000
393,0.820000
394,0.820000
395,0.820000
396,0.820000
397,0.820000
398,0.820000
399,0.820000
400,0.820000
401,0.820000
402,0.820000
403,0.820000
404,0.820000
405,0.820000
406,0.820000
407,0.820000
408,0.820000
409,0.820000
410,0.820000
411,0.820000
412,0.820000
413,0.820000
414,0.820000
415,0.820000
416,0.820000
417,0.820000
418,0.820000
419,0.820000
420,0.820000
421,0.820000
422,0.820000
423,0.820000
424,0.820000
425,0.820000
426,0.820000
427,0.820000
428,0.820000
429,0.820000
430,0.820000
431,0.820000
432,0.820000
433,0.820000
434,0.820000
435,0.820000
436,0.820000
437,0.820000
438,0.820000
439,0.820000
440,0.820000
441,0.820000
442,0.820000
443,0.820000
444,0.820000
445,0.820000
446,0.820000
447,0.820000
448,0.820000
449,0.820000
450,0.820000
451,0.820000
452,0.820000
453,0.820000
454,0.820000
455,0.820000
456,0.820000
457,0.820000
458,0.820000
459,0.820000
460,0.820000
461,0.820000
462,0.820000
463,0.830000
464,0.830000
465,0.830000
466,0.830000
467,0.830000
468,0.830000
469,0.830000
470,0.830000
471,0.830000
472,0.830000
473,0.830000
474,0.830000
475,0.830000
476,0.830000
477,0.830000
478,0.830000
479,0.830000
480,0.830000
481,0.830000
482,0.830000
483,0.830000
484,0.830000
485,0.830000
486,0.830000
487,0.830000
488,0.830000
489,0.830000
490,0.830000
491,0.830000
492,0.830000
493,0.830000
494,0.830000
495,0.830000
496,0.830000
497,0.830000
498,0.830000
499,0.830000
500,0.830000
